schema_version,benchmark_version,controller_name,row_index,track_id,reset_seed,episode_seed,controller_seed,success,lap_time_s,environment_steps,total_reward,terminated,truncated,termination_reason,termination_reason_name,controller_import_time_s,controller_init_time_s,compute_sample_count,compute_deadline_s,compute_p50_s,compute_p95_s,compute_p99_s,compute_max_s,compute_deadline_miss_count,compute_deadline_miss_rate,metric_transition_count,metric_action_delta_count,mean_speed_mps,lateral_error_rms_m,lateral_error_abs_p95_m,lateral_error_abs_max_m,steering_saturation_rate,longitudinal_saturation_rate,steering_rate_rms_rad_s,acceleration_rate_rms_mps3
controller-learning.m8-controller-results.v1,0.1,pid,0,2000000,0,3678467582,1745761672,true,74.75,1495,1.9999999840320015,true,false,1,success,0.0041154579999999998,0.00032506400000000002,1495,0.050000000000000003,0.00026894499999999998,0.00033413799999999999,0.0003391976,0.00041276000000000003,0,0,1495,1494,4.9691713911485982,0.016729744319146225,0.035634373082228138,0.048645297576256422,0,0,0.34209470462250507,0.36403423796476148
controller-learning.m8-controller-results.v1,0.1,pid,1,2000001,1,1682583155,2784763651,true,110,2200,2.0000000325953806,true,false,1,success,0.0036465320000000001,0.00029265500000000001,2200,0.050000000000000003,0.00026706449999999997,0.00027797594999999997,0.00030642934999999989,0.00067681600000000001,0,0,2200,2199,4.9793066332907996,0.020472417102602645,0.047117121794681277,0.060786000207110572,0,0,0.22988717693195407,0.29918292542099095
controller-learning.m8-controller-results.v1,0.1,pid,2,2000002,2,3486573287,348405668,true,89.25,1785,2.0000000350928531,true,false,1,success,0.003717195,0.00028602599999999999,1785,0.050000000000000003,0.00027030799999999997,0.00033487080000000003,0.00033810784000000004,0.00034966899999999999,0,0,1785,1784,4.9741824246549076,0.016703087171759445,0.035252662055161102,0.057819094448269479,0,0,0.28887197983669227,0.33304767930607349
controller-learning.m8-controller-results.v1,0.1,pid,3,2000003,3,2446314928,2428393710,true,86.700004577636719,1734,2.0000000003865352,true,false,1,success,0.0039083069999999998,0.00027534800000000002,1734,0.050000000000000003,0.00027244550000000002,0.00033554409999999999,0.00033742290999999998,0.00034448600000000002,0,0,1734,1733,4.9734908985187198,0.016090303671908158,0.038659383409003427,0.054630376064206967,0,0,0.28825114183488032,0.33702209896316748
controller-learning.m8-controller-results.v1,0.1,pid,4,2000004,4,3011661447,514474025,true,72.450004577636719,1449,1.9999999820065568,true,false,1,success,0.0037126149999999998,0.00028063699999999998,1449,0.050000000000000003,0.00027565000000000001,0.00033744960000000002,0.00038972063999999986,0.00075568200000000003,0,0,1449,1448,4.9682010779913757,0.022118482978899186,0.042150147314566157,0.056108472142976061,0,0,0.38592548850148634,0.37150996158039701
controller-learning.m8-controller-results.v1,0.1,pid,5,2000005,5,1749984141,3359974012,true,113.20000457763672,2264,2.0000000536274456,true,false,1,success,0.0036663669999999998,0.00028372400000000001,2264,0.050000000000000003,0.00027017250000000001,0.00033490434999999997,0.0003422851599999998,0.00035899,0,0,2264,2263,4.9799327239066322,0.016738221023581714,0.034173489068310359,0.055413342484672418,0,0,0.22548078260035995,0.29514526691139137
controller-learning.m8-controller-results.v1,0.1,pid,6,2000006,6,456734374,1334002942,true,91.450004577636719,1829,2.0000000524451025,true,false,1,success,0.003694559,0.000295433,1829,0.050000000000000003,0.000272589,0.00033612619999999997,0.00034327548000000002,0.00074824500000000003,0,0,1829,1828,4.9748275854139283,0.019783147258498588,0.040081735041205227,0.052611019121509013,0,0,0.29711830825120467,0.32926739137237521
controller-learning.m8-controller-results.v1,0.1,pid,7,2000007,7,1235843224,3640678208,true,81.300003051757812,1626,1.9999999678029781,true,false,1,success,0.0037903030000000001,0.00028689200000000002,1626,0.050000000000000003,0.00027423599999999997,0.00033829699999999999,0.00035004399999999998,0.000426647,0,0,1626,1625,4.9718158896595126,0.020356528544133154,0.036864903440231592,0.068698364492365424,0,0,0.31204525082919699,0.34860451446096419
controller-learning.m8-controller-results.v1,0.1,pid,8,2000008,8,1891050830,1390887409,true,111.05000305175781,2221,2.0000000682521204,true,false,1,success,0.0037031099999999999,0.000302109,2221,0.050000000000000003,0.00032875200000000003,0.00033703900000000002,0.00034030740000000006,0.00038964400000000003,0,0,2221,2220,4.9794603565043936,0.031514639177234731,0.078546400293961594,0.095227421415341101,0,0,0.28239152611884438,0.29926002701123722
controller-learning.m8-controller-results.v1,0.1,pid,9,2000010,9,1606936470,1127424140,true,73.550003051757812,1471,1.9999999576966729,true,false,1,success,0.0037431869999999998,0.00027137199999999998,1471,0.050000000000000003,0.00026604500000000002,0.00027414650000000002,0.0002794497,0.00033875399999999998,0,0,1471,1470,4.9685571365513823,0.028497404367462606,0.055745499427952205,0.094939928456822448,0,0,0.38774531242752075,0.36890215469577281
