schema_version,benchmark_version,controller_name,row_index,track_id,reset_seed,episode_seed,controller_seed,success,lap_time_s,environment_steps,total_reward,terminated,truncated,termination_reason,termination_reason_name,controller_import_time_s,controller_init_time_s,compute_sample_count,compute_deadline_s,compute_p50_s,compute_p95_s,compute_p99_s,compute_max_s,compute_deadline_miss_count,compute_deadline_miss_rate,metric_transition_count,metric_action_delta_count,mean_speed_mps,lateral_error_rms_m,lateral_error_abs_p95_m,lateral_error_abs_max_m,steering_saturation_rate,longitudinal_saturation_rate,steering_rate_rms_rad_s,acceleration_rate_rms_mps3
controller-learning.m8-controller-results.v1,0.1,ppo,0,2000000,0,3678467582,1745761672,true,21.450000762939453,429,1.9999999709243639,true,false,1,success,0.0091857420000000002,0.0012539859999999999,429,0.050000000000000003,0.00021264400000000001,0.00022482059999999999,0.00026909523999999997,0.00028204899999999998,0,0,429,428,17.349374073946645,0.12005303220002603,0.22214282041464478,0.28850884232069474,0,0,1.5275402983126736,1.9407599228568198
controller-learning.m8-controller-results.v1,0.1,ppo,1,2000001,1,1682583155,2784763651,true,28,560,1.9999999650935933,true,false,1,success,0.0011286689999999999,0.001220559,560,0.050000000000000003,0.0002705125,0.00027669784999999998,0.00028739881999999999,0.00031904500000000001,0,0,560,559,19.638690321336071,0.25231747217548667,0.36310085353271615,0.4000359394406714,0,0,1.7324787247691351,2.2219000066631036
controller-learning.m8-controller-results.v1,0.1,ppo,2,2000002,2,3486573287,348405668,true,24.100000381469727,482,1.9999999945366653,true,false,1,success,0.001164897,0.001228549,482,0.050000000000000003,0.00026732350000000004,0.00027316839999999998,0.00027585791000000001,0.00033051800000000002,0,0,482,481,18.487486023631735,0.19497310401577186,0.31773233731837919,0.36269897702874337,0,0,1.7106411007250037,2.284984722567343
controller-learning.m8-controller-results.v1,0.1,ppo,3,2000003,3,2446314928,2428393710,true,23.600000381469727,472,2.0000000091504262,true,false,1,success,0.0011666580000000001,0.0012483609999999999,472,0.050000000000000003,0.00021678950000000001,0.00022741605,0.00023363202,0.00027037300000000002,0,0,472,471,18.354909873820635,0.17089331078349654,0.27566544554170397,0.308494082916281,0,0,1.7090295497129051,2.2318205767016832
controller-learning.m8-controller-results.v1,0.1,ppo,4,2000004,4,3011661447,514474025,true,21.25,425,1.9999999706715244,true,false,1,success,0.0011733239999999999,0.001190923,425,0.050000000000000003,0.00023154100000000001,0.00027249079999999996,0.00032209795999999993,0.00036393999999999999,0,0,425,424,16.984936131728379,0.21397226009724538,0.4135066277529878,0.46568687632492151,0,0,1.5613266988600467,2.2103481462030286
controller-learning.m8-controller-results.v1,0.1,ppo,5,2000005,5,1749984141,3359974012,true,28.649999618530273,573,2.0000000602422006,true,false,1,success,0.00118195,0.001213235,573,0.050000000000000003,0.000221089,0.0002312588,0.00024950495999999996,0.00028045899999999999,0,0,573,572,19.760130337004426,0.24973846939592498,0.37592373182241129,0.42621030898636358,0,0,1.4999269817422709,1.9617565062987383
controller-learning.m8-controller-results.v1,0.1,ppo,6,2000006,6,456734374,1334002942,true,24.600000381469727,492,2.0000000823110895,true,false,1,success,0.0011267930000000001,0.001211988,492,0.050000000000000003,0.0002186105,0.00023590690000000001,0.00028559198000000001,0.00029357800000000001,0,0,492,491,18.581617798838607,0.2162347392864423,0.43786566284372785,0.55798913762119939,0,0,1.5017891022614649,2.0963809592464009
controller-learning.m8-controller-results.v1,0.1,ppo,7,2000007,7,1235843224,3640678208,true,22.700000762939453,454,2.0000000150603228,true,false,1,success,0.001124629,0.0012039889999999999,454,0.050000000000000003,0.00026877699999999999,0.00027874755,0.0003108418599999994,0.00035566500000000002,0,0,454,453,17.895515106294642,0.1589184801624082,0.31551903176589369,0.34645198674537669,0,0,1.7911514109223556,2.273476913075096
controller-learning.m8-controller-results.v1,0.1,ppo,8,2000008,8,1891050830,1390887409,true,28.5,570,2.000000021964297,true,false,1,success,0.0011243410000000001,0.0011776180000000001,570,0.050000000000000003,0.00027473100000000001,0.00028156304999999999,0.00028788432999999979,0.00033520700000000002,0,0,570,569,19.457950541768032,0.27279308730520124,0.45314993597869796,0.54648338448212297,0,0,1.6237025305527575,2.5135880448929826
controller-learning.m8-controller-results.v1,0.1,ppo,9,2000010,9,1606936470,1127424140,true,21.399999618530273,428,2.0000000528261808,true,false,1,success,0.0013511350000000001,0.0012141299999999999,428,0.050000000000000003,0.00021976649999999999,0.0002325606,0.00023852418999999999,0.00027289700000000003,0,0,428,427,17.080284313375873,0.26913269721951533,0.66028123184761778,0.79954154773032449,0,0,1.5504375094610121,2.3286489190611359
