schema_version,benchmark_version,controller_name,row_index,track_id,reset_seed,episode_seed,controller_seed,success,lap_time_s,environment_steps,total_reward,terminated,truncated,termination_reason,termination_reason_name,controller_import_time_s,controller_init_time_s,compute_sample_count,compute_deadline_s,compute_p50_s,compute_p95_s,compute_p99_s,compute_max_s,compute_deadline_miss_count,compute_deadline_miss_rate,metric_transition_count,metric_action_delta_count,mean_speed_mps,lateral_error_rms_m,lateral_error_abs_p95_m,lateral_error_abs_max_m,steering_saturation_rate,longitudinal_saturation_rate,steering_rate_rms_rad_s,acceleration_rate_rms_mps3
controller-learning.m8-controller-results.v1,0.1,mpc,0,2000000,0,3678467582,1745761672,true,87.050003051757812,1741,2.0000000006593837,true,false,1,success,0.036187984999999999,0.028711891999999999,1741,0.050000000000000003,0.032896992,0.040452086999999998,0.044515308399999995,0.049581812000000003,0,0,1741,1740,4.2681418985864381,0.0369881887057186,0.046860103349023081,0.06181348546238969,0,0,0.25098763806215257,0.60833869387187967
controller-learning.m8-controller-results.v1,0.1,mpc,1,2000001,1,1682583155,2784763651,true,128.05000305175781,2561,1.9999999591746018,true,false,1,success,0.0074174369999999998,0.026350272000000001,2561,0.050000000000000003,0.032383004,0.040476445999999999,0.045543878600000004,0.059659482,9,0.0035142522452167122,2561,2560,4.2793117378957577,0.042640398946641747,0.053599010329247472,0.055618863023606011,0,0,0.1691304628827581,0.50030139029809351
controller-learning.m8-controller-results.v1,0.1,mpc,2,2000002,2,3486573287,348405668,true,103.90000152587891,2078,2.0000000526260919,true,false,1,success,0.0073864680000000002,0.026424003000000001,2078,0.050000000000000003,0.032666103000000002,0.039401777450000001,0.042307622949999998,0.053921320000000002,2,0.00096246390760346492,2078,2077,4.274173855107545,0.041869281059977496,0.053516920073315676,0.055875493389390934,0,0,0.21144672578677748,0.556854861049492
controller-learning.m8-controller-results.v1,0.1,mpc,3,2000003,3,2446314928,2428393710,true,100.95000457763672,2019,1.9999999743204171,true,false,1,success,0.0076063800000000003,0.027192577999999999,2019,0.050000000000000003,0.032589532999999997,0.039719580299999994,0.044412387759999998,0.053165052999999997,4,0.0019811788013868251,2019,2018,4.273016004200171,0.039745668940764291,0.048630063206811687,0.058529595182096925,0,0,0.21179618019545013,0.56376805616818504
controller-learning.m8-controller-results.v1,0.1,mpc,4,2000004,4,3011661447,514474025,true,84.349998474121094,1687,1.9999999311030479,true,false,1,success,0.0074999869999999996,0.026522113,1687,0.050000000000000003,0.032858023,0.038995865099999999,0.044306141119999989,0.054436349000000002,4,0.0023710729104919974,1687,1686,4.266588099461492,0.032784166246960018,0.047470271635810461,0.053032473646974651,0,0,0.28187138007813395,0.62033210426571894
controller-learning.m8-controller-results.v1,0.1,mpc,5,2000005,5,1749984141,3359974012,true,131.75,2635,1.9999999980727807,true,false,1,success,0.0076114859999999998,0.027109380999999998,2635,0.050000000000000003,0.032535900999999999,0.040625436399999978,0.044114004299999995,0.053002105000000001,3,0.0011385199240986717,2635,2634,4.2796324292426666,0.041322011632376081,0.053416049320412974,0.055618524897794813,0,0,0.1661062276882026,0.49369190154420062
controller-learning.m8-controller-results.v1,0.1,mpc,6,2000006,6,456734374,1334002942,true,106.5,2130,2.0000000063428161,true,false,1,success,0.0076585480000000003,0.026922926,2130,0.050000000000000003,0.032217284499999999,0.03962568055,0.044546617739999995,0.053145626000000001,3,0.0014084507042253522,2130,2129,4.2738455167050251,0.03645628224323548,0.050319809196352365,0.055323861311651193,0,0,0.21800091099687366,0.55004258875990308
controller-learning.m8-controller-results.v1,0.1,mpc,7,2000007,7,1235843224,3640678208,true,94.650001525878906,1893,2.0000000028685463,true,false,1,success,0.007631507,0.027535952999999998,1893,0.050000000000000003,0.031658150000000003,0.037963903599999994,0.042536293639999979,0.047531194999999998,0,0,1893,1892,4.2712421265436475,0.039521175052963327,0.05083874214473804,0.058241495821347869,0,0,0.22922815054577189,0.58228574493565322
controller-learning.m8-controller-results.v1,0.1,mpc,8,2000008,8,1891050830,1390887409,true,129.25,2585,1.9999999959873094,true,false,1,success,0.0079874969999999997,0.026462345000000002,2585,0.050000000000000003,0.031486962,0.037098641999999994,0.041291321360000001,0.049297635999999999,0,0,2585,2584,4.2779564412562268,0.035732113028379378,0.051149236787374722,0.056185982272007523,0,0,0.20678843211236408,0.49987467724490003
controller-learning.m8-controller-results.v1,0.1,mpc,9,2000010,9,1606936470,1127424140,true,85.650001525878906,1713,1.9999999752535587,true,false,1,success,0.0076002580000000004,0.026378364000000001,1713,0.050000000000000003,0.032534192000000003,0.039422276399999991,0.042462655679999989,0.047835319000000001,0,0,1713,1712,4.2674425625784229,0.035479883496053036,0.051938049059157484,0.057654762951426554,0,0,0.2862555213683044,0.61509676421860138
controller-learning.m8-controller-results.v1,0.1,mpc,10,2000011,10,2281551864,1448500881,true,83.300003051757812,1666,2.0000000238505891,true,false,1,success,0.0075881029999999997,0.026689331,1666,0.050000000000000003,0.031891502500000002,0.038981598999999999,0.042868405599999972,0.047773636000000001,0,0,1666,1665,4.2667712977925429,0.036951723233296173,0.046560209727009534,0.052136508746331446,0,0,0.25809405771218541,0.61909247097573006
controller-learning.m8-controller-results.v1,0.1,mpc,11,2000013,11,1779521583,3090160286,true,98.400001525878906,1968,1.9999999310011844,true,false,1,success,0.0077581239999999999,0.027273055000000001,1968,0.050000000000000003,0.032490723999999999,0.039308138049999997,0.042453635869999985,0.048681104000000003,0,0,1968,1967,4.2714429488757846,0.035650580375764733,0.050462345821222457,0.056023518635390124,0,0,0.24656759245371684,0.57270593195455721
